account,debit,credit,date_maturity,payment_mode,analytic_acc
(Código de la cuenta,,,,,
 contable),(Debe),(Haber),(Fecha vencimiento),,
,,,,,
,,,,,
,,,,,
43000541,"961,59",,01/30/2019,Transferencia,MS
43000548,"556,47",,01/30/2019,Transferencia,MS
43000548,"1375,75",,12/30/2018,Transferencia,MS
43000548,"281,13",,09/30/2018,Transferencia,MS
43000550,"5236,49",,11/30/2018,Transferencia,MS
43000550,"3849,77",,12/31/2018,Transferencia,MS
43000560,"1004,51",,01/30/2019,Transferencia,MS
43000560,"1095,16",,12/30/2018,Transferencia,MS
43000582,"845,79",,12/30/2018,Transferencia,MS
43000582,"845,79",,11/30/2018,Transferencia,MS
43000582,"845,79",,01/30/2019,Transferencia,MS
43000614,"845,79",,09/30/2018,Transferencia,MS
43000614,"845,79",,08/30/2018,Transferencia,MS
43000614,"845,79",,07/30/2018,Transferencia,MS
43000614,"845,79",,10/30/2018,Transferencia,MS
43000614,"845,79",,06/30/2018,Transferencia,MS
43000623,"-240,79",,02/14/2018,,SAAS
43000623,"1372,47",,12/31/2018,Transferencia,SAAS
43000624,"1042,16",,12/31/2018,Domiciliado,MS
43000641,"1314,22",,04/30/2017,Transferencia,
43000641,"2547,55",,03/31/2017,Transferencia,
43000641,"797,43",,09/30/2016,Transferencia,
43000641,"1704,01",,02/28/2017,Transferencia,
43000643,"1948,17",,01/25/2019,Transferencia,MS
43000644,"8060,05",,07/31/2018,Transferencia,MS
43000644,"8515,66",,08/31/2018,Transferencia,MS
43000644,"2274,79",,10/31/2018,Transferencia,MS
43000644,"845,79",,11/30/2018,Transferencia,MS
43000650,"349,06",,12/31/2018,Transferencia,MS
43000653,"845,79",,03/31/2017,Transferencia,
43000653,"845,79",,04/30/2017,Transferencia,
43000653,"980,27",,01/31/2017,Transferencia,
43000653,"1414,93",,12/31/2016,Transferencia,
43000653,"845,79",,05/31/2017,Transferencia,
43000653,"845,79",,02/28/2017,Transferencia,
43000653,"1912,78",,12/03/2016,Transferencia,
43000660,"7090,01",,11/30/2018,Transferencia,MS
43000660,"7599,77",,10/31/2018,Transferencia,MS
43000660,"6834,21",,09/30/2018,Transferencia,MS
43000660,"6407,18",,08/31/2018,Transferencia,MS
43000660,"3176,73",,12/31/2018,Transferencia,MS
43000675,"481,83",,10/31/2016,Transferencia,
43000684,1899,,11/30/2016,Transferencia,
43000684,"1667,49",,10/31/2016,Transferencia,
43000684,699,,11/30/2016,Transferencia,
43000711,"5875,77",,11/30/2018,Transferencia,MS
43000711,"2732,07",,12/31/2018,Transferencia,MS
43000717,"845,79",,12/31/2016,Transferencia,
43000717,"845,79",,02/15/2017,Transferencia,
43000719,"665,17",,12/31/2016,Transferencia,
43000721,"1362,94",,02/14/2017,Transferencia,
43000722,699,,11/30/2016,Transferencia,
43000722,"383,32",,01/31/2017,Transferencia,
43000722,699,,12/31/2016,Transferencia,
43000732,"2493,45",,05/31/2018,Transferencia,MS
43000732,"1883,58",,11/30/2018,Transferencia,MS
43000732,"1823,51",,10/31/2018,Transferencia,MS
43000732,"2289,59",,09/30/2018,Transferencia,MS
43000732,"-3471,26",,09/30/2018,,MS
43000732,"1884,59",,08/31/2018,Transferencia,MS
43000732,"2138,38",,07/31/2018,Transferencia,MS
43000732,"2433,89",,06/30/2018,Transferencia,MS
43000732,"-2289,59",,12/31/2018,,MS
43000732,"845,79",,12/31/2018,Transferencia,MS
43000747,"451,09",,12/30/2016,Transferencia,
43000747,"845,79",,01/30/2017,Transferencia,
43000749,"592,05",,11/30/2016,Transferencia,
43000760,"1209,15",,12/31/2018,Transferencia,MS
43000764,699,,03/31/2017,Transferencia,
43000764,699,,02/28/2017,Transferencia,
43000780,"180,39",,03/31/2017,Transferencia,
43000782,"845,79",,02/28/2017,Transferencia,
43000782,"818,5",,12/31/2016,Transferencia,
43000782,"845,79",,01/31/2017,Transferencia,
43000807,"845,79",,04/30/2017,Transferencia,
43000807,"818,5",,06/30/2017,Transferencia,
43000807,"845,79",,05/30/2017,Transferencia,
43000816,"409,26",,03/31/2017,Transferencia,
43000816,"845,79",,02/28/2017,Transferencia,
43000816,"709,37",,01/31/2017,Transferencia,
43000839,"2681,26",,12/31/2018,Domiciliado,MS
43000841,"3703,99",,12/31/2018,Domiciliado,MS
43000841,"3326,85",,12/30/2018,Transferencia,MS
43000841,"3612,91",,01/29/2019,Transferencia,MS
43000843,"845,79",,04/30/2017,Transferencia,
43000843,"845,79",,05/31/2017,Transferencia,
43000854,699,,05/31/2017,Transferencia,
43000854,699,,04/30/2017,Transferencia,
43000854,699,,03/31/2017,Transferencia,
43000860,"1052,16",,11/15/2017,Transferencia,
43000860,"169,16",,09/30/2017,Transferencia,
43000860,"5360,57",,04/30/2017,Transferencia,
43000860,"845,79",,08/31/2017,Transferencia,
43000860,"649,03",,03/31/2017,Transferencia,
43000860,"915,22",,06/30/2017,Transferencia,
43000860,"8101,23",,05/31/2017,Transferencia,
43000864,"240,79",,12/31/2018,Tarjeta,SAAS
43000865,"845,79",,03/31/2017,Transferencia,
43000887,"482,79",,06/30/2017,Transferencia,
43000890,"1239,4",,12/31/2018,Transferencia,MS
43000891,"956,88",,12/31/2018,Domiciliado,MS
43000892,"240,79",,12/31/2018,Transferencia,SAAS
43000892,"240,79",,11/30/2018,Transferencia,SAAS
43000892,"240,79",,10/31/2018,Transferencia,SAAS
43000895,"845,79",,12/31/2018,Transferencia,MS
43000895,"-491,1",,03/16/2018,,MS
43000895,"2670,93",,06/30/2018,Transferencia,MS
43000895,"987,14",,11/30/2018,Transferencia,MS
43000896,"179,18",,01/30/2019,Transferencia,MS
43000897,"489,99",,04/30/2017,Transferencia,
43000898,"845,79",,10/30/2018,Domiciliado,
43000899,"845,79",,06/30/2018,Transferencia,MS
43000899,"845,79",,07/31/2018,Transferencia,MS
43000899,"845,79",,09/30/2018,Transferencia,MS
43000899,"845,79",,05/31/2018,Transferencia,MS
43000900,"2408,11",,12/30/2018,Transferencia,MS
43000900,"2764,98",,01/30/2019,Transferencia,MS
43000902,"-287,24",,01/05/2018,,
43000902,399,,12/31/2018,Tarjeta,SAAS
43000903,"240,79",,06/30/2018,Transferencia,SAAS
43000903,"240,79",,07/31/2018,Transferencia,SAAS
43000903,"482,79",,05/31/2018,Transferencia,SAAS
43000903,"-240,79",,12/31/2018,,SAAS
43000911,"482,79",,12/31/2018,Tarjeta,SAAS
43000913,"327,4",,12/31/2018,Domiciliado,MS
43000915,"176,91",,06/30/2018,Transferencia,MS
43000915,"191,77",,10/31/2018,Transferencia,MS
43000926,"746,7",,12/31/2018,Domiciliado,MS
43000927,4235,,11/30/2018,Transferencia,MS
43000938,"594,15",,06/30/2018,Tarjeta,MS
43000938,"863,53",,05/30/2018,Tarjeta,MS
43000938,"1015,12",,04/30/2018,Tarjeta,MS
43000938,"426,85",,03/30/2018,Tarjeta,MS
43000939,"2018,65",,11/30/2018,Transferencia,MS
43000939,"3259,13",,12/31/2018,Transferencia,MS
43000942,"3198,38",,01/30/2019,Transferencia,MS
43000943,"240,79",,12/31/2018,Tarjeta,SAAS
43000945,"845,79",,08/31/2017,Transferencia,
43000945,"845,79",,08/30/2017,Transferencia,
43000946,"2954,14",,12/30/2018,Transferencia,MS
43000946,"3997,9",,01/30/2019,Transferencia,MS
43000954,"845,79",,12/31/2018,Domiciliado,MS
43000957,"594,15",,09/30/2017,Transferencia,
43000957,"594,15",,08/31/2017,Transferencia,
43000957,"784,19",,07/31/2017,Transferencia,
43000957,"489,3",,06/30/2017,Transferencia,
43000957,"144,09",,05/31/2017,Transferencia,
43000957,"601,14",,10/31/2017,Transferencia,
43000966,"1418,59",,02/28/2018,Transferencia,MS
43000966,"409,26",,03/15/2018,Transferencia,MS
43000966,"409,26",,03/31/2018,Transferencia,MS
43000966,"409,26",,04/17/2018,Transferencia,MS
43000966,"1297,97",,04/17/2018,Transferencia,MS
43000966,"1418,59",,12/17/2018,Transferencia,MS
43000966,"-409,26",,12/31/2018,,MS
43000966,"-409,26",,12/31/2018,,MS
43000967,"-326,7",,07/24/2018,,MS
43000968,"566,19",,04/30/2018,Tarjeta,MS
43000968,"143,29",,03/30/2018,Tarjeta,MS
43000970,"349,5",,07/15/2018,Transferencia,MS
43000972,5263,,12/30/2018,Transferencia,MS
43000972,"9,14",,09/30/2018,Transferencia,MS
43000972,"3766,38",,01/30/2019,Transferencia,MS
43000973,"845,79",,05/31/2018,Transferencia,MS
43000973,"845,79",,03/31/2018,Transferencia,MS
43000973,"845,79",,04/30/2018,Transferencia,MS
43000973,"845,79",,02/28/2018,Transferencia,MS
43000973,"272,83",,01/31/2018,Transferencia,MS
43000974,"286,59",,03/30/2018,Transferencia,MS
43000974,"566,19",,04/30/2018,Transferencia,MS
43000976,"-3460,44",,04/30/2018,,MS
43000976,"-360,92",,04/30/2018,,MS
43000976,"3821,36",,12/31/2018,Transferencia,MS
43000976,"2366,53",,12/31/2018,Transferencia,MS
43000978,"991,8",,10/31/2018,Transferencia,MS
43000978,"845,79",,11/30/2018,Transferencia,MS
43000980,"1409,32",,01/29/2019,Transferencia,MS
43000980,"12498,61",,12/30/2018,Transferencia,MS
43000980,"1250,4",,12/30/2018,Transferencia,MS
43000980,"23411,72",,11/29/2018,Transferencia,MS
43000980,"2342,04",,11/29/2018,Transferencia,MS
43000980,"21705,9",,03/01/2019,Transferencia,MS
43000980,"14088,49",,01/29/2019,Transferencia,MS
43000980,"2171,34",,03/01/2019,Transferencia,MS
43000981,"240,79",,12/31/2018,Domiciliado,MS
43001003,"1293,99",,02/17/2019,Transferencia,MS
43001003,"2926,8",,12/30/2018,Transferencia,MS
43001003,"3022,64",,01/29/2019,Transferencia,MS
43001004,"1937,19",,12/30/2018,Transferencia,MS
43001004,"2276,07",,11/29/2018,Transferencia,MS
43001004,"1177,91",,10/30/2018,Transferencia,MS
43001004,"1257,81",,09/29/2018,Transferencia,MS
43001004,"1108,47",,08/29/2018,Transferencia,MS
43001004,"845,79",,01/29/2019,Transferencia,MS
43001004,"895,11",,03/01/2019,Transferencia,MS
43001005,"1083,01",,12/31/2018,Domiciliado,MS
43001013,"240,79",,12/31/2018,Tarjeta,SAAS
43001016,"1333,85",,05/31/2018,Transferencia,MS
43001016,"871,44",,04/30/2018,Transferencia,MS
43001016,"955,04",,06/30/2018,Transferencia,MS
43001017,"1639,39",,06/30/2018,Transferencia,MS
43001017,"1345,29",,05/29/2018,Transferencia,MS
43001017,"1878,94",,06/25/2018,Transferencia,MS
43001018,"240,79",,09/30/2018,Transferencia,SAAS
43001020,"845,79",,09/30/2018,Transferencia,MS
43001020,"987,99",,07/31/2018,Transferencia,MS
43001020,"845,79",,08/31/2018,Transferencia,MS
43001020,"845,79",,10/31/2018,Transferencia,MS
43001025,"845,79",,07/31/2018,Transferencia,MS
43001025,"845,79",,06/30/2018,Transferencia,MS
43001026,"4462,3",,10/31/2018,Transferencia,MS
43001026,"5011,98",,11/30/2018,Domiciliado,MS
43001026,"3737,42",,12/31/2018,Domiciliado,MS
43001027,"2751,85",,12/31/2018,Transferencia,MS
43001028,"75,3",,01/29/2019,Transferencia,MS
